Key,Match,MatchType,SymbolicKey,ParameterPath,Type,Default,Min,Max,AllowedValues,Unit,Notes
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/FIR/nTaps,no,unmatched,,,INT,2048,,,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/FIR/Taps,no,unmatched,,,FLOAT[],FLOAT[2048],,,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/XOver/XOver-{0:1}/Enable,no,unmatched,,,BOOL,False,,,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/XOver/XOver-{0:1}/Type/Value,no,unmatched,,,ENUM,0,,,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/XOver/XOver-{0:1}/Fc/Value,no,unmatched,,,FLOAT,1000,10,24675,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/XOver/XOver-{0:1}/Slope/Value,no,unmatched,,,FLOAT,24,6,48,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/IIR/IIR-{0:15}/Enable,no,unmatched,,,BOOL,False,,,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/IIR/IIR-{0:15}/Type/Value,no,unmatched,,,ENUM,0,,,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/IIR/IIR-{0:15}/Fc/Value,no,unmatched,,,FLOAT,1000,20,20000,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/IIR/IIR-{0:15}/Gain/Value,no,unmatched,,,FLOAT,0,-15,15,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/IIR/IIR-{0:15}/Q/Value,no,unmatched,,,FLOAT,1.4,0.1,30,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/IIR/IIR-{0:15}/Slope/Value,no,unmatched,,,FLOAT,0.5,0.25,1.25,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/TruePowerLimiter/Gain/Value,no,unmatched,,,FLOAT,1,0.001,5.623413251903491,,Linear,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/TruePowerLimiter/Enable,no,unmatched,,,BOOL,False,,,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/TruePowerLimiter/Threshold/Value,no,unmatched,,,FLOAT,3500,40,7000,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/TruePowerLimiter/AttackTime/Value,no,unmatched,,,FLOAT,2,0.1,30,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/TruePowerLimiter/ReleaseTime/Value,no,unmatched,,,FLOAT,4,0.2,30,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/TruePowerLimiter/HoldTime/Value,no,unmatched,,,FLOAT,0,0,30,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/CurrentLimiterRMS/Gain/Value,no,unmatched,,,FLOAT,1,0.001,5.623413251903491,,Linear,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/CurrentLimiterRMS/Enable,no,unmatched,,,BOOL,False,,,,,
