Key,Type,Default,Min,Max,AllowedValues,Unit,Notes
/Device/Audio/Presets/Live/PreOutputProcess/Channels/Channel-{0:7}/XOver/XOver-{0:1}/Enable,BOOL,False,,,,,
/Device/Audio/Presets/Live/PreOutputProcess/Channels/Channel-{0:7}/XOver/XOver-{0:1}/Type/Value,ENUM,0,,,,,
/Device/Audio/Presets/Live/PreOutputProcess/Channels/Channel-{0:7}/XOver/XOver-{0:1}/Fc/Value,FLOAT,1000,10,24675,,,
/Device/Audio/Presets/Live/PreOutputProcess/Channels/Channel-{0:7}/XOver/XOver-{0:1}/Slope/Value,FLOAT,24,6,48,,,
/Device/Audio/Presets/Live/PreOutputProcess/Channels/Channel-{0:7}/IIR/IIR-{0:7}/Enable,BOOL,False,,,,,
/Device/Audio/Presets/Live/PreOutputProcess/Channels/Channel-{0:7}/IIR/IIR-{0:7}/Type/Value,ENUM,0,,,,,
/Device/Audio/Presets/Live/PreOutputProcess/Channels/Channel-{0:7}/IIR/IIR-{0:7}/Fc/Value,FLOAT,1000,20,20000,,,
/Device/Audio/Presets/Live/PreOutputProcess/Channels/Channel-{0:7}/IIR/IIR-{0:7}/Gain/Value,FLOAT,0,-15,15,,,
/Device/Audio/Presets/Live/PreOutputProcess/Channels/Channel-{0:7}/IIR/IIR-{0:7}/Q/Value,FLOAT,1.4,0.1,30,,,
/Device/Audio/Presets/Live/PreOutputProcess/Channels/Channel-{0:7}/IIR/IIR-{0:7}/Slope/Value,FLOAT,0.5,0.25,1.25,,,
/Device/Audio/Presets/Live/PreOutputProcess/Channels/Channel-{0:7}/HarmonicGenerator/DryOutput/Enable,BOOL,False,,,,,
/Device/Audio/Presets/Live/PreOutputProcess/Channels/Channel-{0:7}/HarmonicGenerator/DryOutput/Gain/Value,FLOAT,1,0.003981071705534973,1,,Linear,
/Device/Audio/Presets/Live/PreOutputProcess/Channels/Channel-{0:7}/HarmonicGenerator/SubHarmonic/Enable,BOOL,False,,,,,
/Device/Audio/Presets/Live/PreOutputProcess/Channels/Channel-{0:7}/HarmonicGenerator/SubHarmonic/Gain/Value,FLOAT,1,0.003981071705534973,1,,Linear,
/Device/Audio/Presets/Live/PreOutputProcess/Channels/Channel-{0:7}/HarmonicGenerator/SubHarmonic/LowPassSlope/Value,ENUM,12,,,,,
/Device/Audio/Presets/Live/PreOutputProcess/Channels/Channel-{0:7}/HarmonicGenerator/SubHarmonic/LowPassFc/Value,FLOAT,40,30,80,,,
/Device/Audio/Presets/Live/PreOutputProcess/Channels/Channel-{0:7}/HarmonicGenerator/SubHarmonic/HiPassFc/Value,FLOAT,20,10,60,,,
/Device/Audio/Presets/Live/PreOutputProcess/Channels/Channel-{0:7}/HarmonicGenerator/SubHarmonic/HiPassSlope/Value,ENUM,6,,,,,
/Device/Audio/Presets/Live/PreOutputProcess/Channels/Channel-{0:7}/HarmonicGenerator/Harmonic/Enable,BOOL,False,,,,,
/Device/Audio/Presets/Live/PreOutputProcess/Channels/Channel-{0:7}/HarmonicGenerator/Harmonic/Gain/Value,FLOAT,1,0.003981071705534973,1,,Linear,
/Device/Audio/Presets/Live/PreOutputProcess/Channels/Channel-{0:7}/HarmonicGenerator/Harmonic/LowPassSlope/Value,ENUM,12,,,,,
/Device/Audio/Presets/Live/PreOutputProcess/Channels/Channel-{0:7}/HarmonicGenerator/Harmonic/LowPassFc/Value,FLOAT,80,40,160,,,
/Device/Audio/Presets/Live/PreOutputProcess/Channels/Channel-{0:7}/HarmonicGenerator/Harmonic/HiPassFc/Value,FLOAT,40,20,140,,,
/Device/Audio/Presets/Live/PreOutputProcess/Channels/Channel-{0:7}/HarmonicGenerator/Harmonic/Mode,ENUM,0,,,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/Name,STRING,,,,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/Bridge/Value,BOOL,False,,,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/Mute/Value,BOOL,False,,,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/Gain/Value,FLOAT,1,0.001,5.623413251903491,,Linear,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/OutPolarity/Value,BOOL,False,,,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/OutDelay/Value,FLOAT,0,0,0.1,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/OutDelay/Enable,BOOL,True,,,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/FIR/Enable,BOOL,False,,,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/FIR/nTaps,INT,2048,,,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/FIR/Taps,FLOAT[],FLOAT[2048],,,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/XOver/XOver-{0:1}/Enable,BOOL,False,,,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/XOver/XOver-{0:1}/Type/Value,ENUM,0,,,,,
