template,suggestedKey
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/LoadMonitor/Enable/Value","OUTPUT_CHANNEL_LOADMONITOR_ENABLE_VALUE"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/LoadMonitor/Freq/Value","OUTPUT_CHANNEL_LOADMONITOR_FREQ_VALUE"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/LoadMonitor/High/Value","OUTPUT_CHANNEL_LOADMONITOR_HIGH_VALUE"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/LoadMonitor/Low/Value","OUTPUT_CHANNEL_LOADMONITOR_LOW_VALUE"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/Mute/Value","OUTPUT_CHANNEL_MUTE_VALUE"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/Name","OUTPUT_CHANNEL_NAME"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/NominalImpedance/Enable/Value","OUTPUT_CHANNEL_NOMINALIMPEDANCE_ENABLE_VALUE"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/NominalImpedance/High/Value","OUTPUT_CHANNEL_NOMINALIMPEDANCE_HIGH_VALUE"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/NominalImpedance/Low/Value","OUTPUT_CHANNEL_NOMINALIMPEDANCE_LOW_VALUE"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/OutDelay/Enable","OUTPUT_CHANNEL_OUTDELAY_ENABLE"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/OutDelay/Value","OUTPUT_CHANNEL_OUTDELAY_VALUE"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/OutPolarity/Value","OUTPUT_CHANNEL_OUTPOLARITY_VALUE"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/PeakLimiter/AttackTime/Value","OUTPUT_CHANNEL_PEAK_LIMITER_ATTACKTIME_VALUE"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/PeakLimiter/Enable","OUTPUT_CHANNEL_PEAK_LIMITER_ENABLE"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/PeakLimiter/Gain/Value","OUTPUT_CHANNEL_PEAK_LIMITER_GAIN_VALUE"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/PeakLimiter/HoldTime/Value","OUTPUT_CHANNEL_PEAK_LIMITER_HOLDTIME_VALUE"
